polyid,geometry
33,"POLYGON ((116.28220428673 39.69397421557792, 116.2880354490963 39.69401011569401, 116.2880817248297 39.68950532272925, 116.2822509413938 39.68946942831894, 116.28220428673 39.69397421557792))"
34,"POLYGON ((116.2880354490963 39.69401011569401, 116.2938666218631 39.69404572301983, 116.2939125186633 39.68954092439579, 116.2880817248297 39.68950532272925, 116.2880354490963 39.69401011569401))"
35,"POLYGON ((116.2938666218631 39.69404572301983, 116.2996978049452 39.69408103755382, 116.2997433228098 39.68957623331705, 116.2939125186633 39.68954092439579, 116.2938666218631 39.69404572301983))"
36,"POLYGON ((116.2996978049452 39.69408103755382, 116.3055289982574 39.69411605929446, 116.3055741371839 39.68961124949148, 116.2997433228098 39.68957623331705, 116.2996978049452 39.69408103755382))"
37,"POLYGON ((116.3055289982574 39.69411605929446, 116.3113602017147 39.69415078824024, 116.3114049617004 39.68964597291756, 116.3055741371839 39.68961124949148, 116.3055289982574 39.69411605929446))"
38,"POLYGON ((116.3113602017147 39.69415078824024, 116.3171914152319 39.69418522438963, 116.3172357962744 39.68968040359383, 116.3114049617004 39.68964597291756, 116.3113602017147 39.69415078824024))"
39,"POLYGON ((116.3171914152319 39.69418522438963, 116.3230226387238 39.69421936774119, 116.3230666408205 39.68971454151876, 116.3172357962744 39.68968040359383, 116.3171914152319 39.69418522438963))"
40,"POLYGON ((116.3230226387238 39.69421936774119, 116.3288538721053 39.69425321829341, 116.3288974952538 39.6897483866909, 116.3230666408205 39.68971454151876, 116.3230226387238 39.69421936774119))"
41,"POLYGON ((116.3288538721053 39.69425321829341, 116.3346851152911 39.69428677604485, 116.334728359489 39.68978193910878, 116.3288974952538 39.6897483866909, 116.3288538721053 39.69425321829341))"
42,"POLYGON ((116.3346851152911 39.69428677604485, 116.3405163681962 39.69432004099404, 116.340559233441 39.68981519877095, 116.334728359489 39.68978193910878, 116.3346851152911 39.69428677604485))"
43,"POLYGON ((116.3405163681962 39.69432004099404, 116.3463476307354 39.69435301313955, 116.3463901170248 39.68984816567598, 116.340559233441 39.68981519877095, 116.3405163681962 39.69432004099404))"
44,"POLYGON ((116.3463476307354 39.69435301313955, 116.3521789028236 39.69438569247997, 116.352221010155 39.68988083982243, 116.3463901170248 39.68984816567598, 116.3463476307354 39.69435301313955))"
45,"POLYGON ((116.3521789028236 39.69438569247997, 116.3580101843755 39.69441807901386, 116.3580519127467 39.6899132212089, 116.352221010155 39.68988083982243, 116.3521789028236 39.69438569247997))"
46,"POLYGON ((116.3580101843755 39.69441807901386, 116.363841475306 39.69445017273983, 116.3638828247147 39.68994530983399, 116.3580519127467 39.6899132212089, 116.3580101843755 39.69441807901386))"
47,"POLYGON ((116.363841475306 39.69445017273983, 116.36967277553 39.69448197365652, 116.3697137459738 39.68997710569629, 116.3638828247147 39.68994530983399, 116.363841475306 39.69445017273983))"
48,"POLYGON ((116.36967277553 39.69448197365652, 116.3755040849623 39.69451348176252, 116.3755446764389 39.69000860879448, 116.3697137459738 39.68997710569629, 116.36967277553 39.69448197365652))"
49,"POLYGON ((116.3755040849623 39.69451348176252, 116.3813354035177 39.69454469705647, 116.3813756160249 39.69003981912716, 116.3755446764389 39.69000860879448, 116.3755040849623 39.69451348176252))"
50,"POLYGON ((116.3813354035177 39.69454469705647, 116.387166731111 39.69457561953705, 116.3872065646465 39.69007073669297, 116.3813756160249 39.69003981912716, 116.3813354035177 39.69454469705647))"
51,"POLYGON ((116.387166731111 39.69457561953705, 116.3929980676572 39.69460624920291, 116.3930375222188 39.6901013614906, 116.3872065646465 39.69007073669297, 116.387166731111 39.69457561953705))"
52,"POLYGON ((116.3929980676572 39.69460624920291, 116.398829413071 39.69463658605271, 116.3988684886565 39.69013169351873, 116.3930375222188 39.6901013614906, 116.3929980676572 39.69460624920291))"
53,"POLYGON ((116.398829413071 39.69463658605271, 116.4046607672672 39.69466663008516, 116.4046994638744 39.69016173277603, 116.3988684886565 39.69013169351873, 116.398829413071 39.69463658605271))"
54,"POLYGON ((116.4046607672672 39.69466663008516, 116.4104921301608 39.69469638129895, 116.4105304477875 39.69019147926121, 116.4046994638744 39.69016173277603, 116.4046607672672 39.69466663008516))"
55,"POLYGON ((116.4104921301608 39.69469638129895, 116.4163235016665 39.6947258396928, 116.4163614403105 39.69022093297298, 116.4105304477875 39.69019147926121, 116.4104921301608 39.69469638129895))"
56,"POLYGON ((116.4163235016665 39.6947258396928, 116.4221548816991 39.69475500526543, 116.4221924413584 39.69025009391008, 116.4163614403105 39.69022093297298, 116.4163235016665 39.6947258396928))"
57,"POLYGON ((116.4221548816991 39.69475500526543, 116.4279862701736 39.6947838780156, 116.428023450846 39.69027896207125, 116.4221924413584 39.69025009391008, 116.4221548816991 39.69475500526543))"
58,"POLYGON ((116.4279862701736 39.6947838780156, 116.4338176670047 39.69481245794204, 116.4338544686882 39.69030753745522, 116.428023450846 39.69027896207125, 116.4279862701736 39.6947838780156))"
59,"POLYGON ((116.4338176670047 39.69481245794204, 116.4396490721072 39.69484074504351, 116.4396854947997 39.69033582006077, 116.4338544686882 39.69030753745522, 116.4338176670047 39.69481245794204))"
60,"POLYGON ((116.4396490721072 39.69484074504351, 116.4454804853961 39.69486873931882, 116.4455165290955 39.69036380988668, 116.4396854947997 39.69033582006077, 116.4396490721072 39.69484074504351))"
61,"POLYGON ((116.4454804853961 39.69486873931882, 116.451311906786 39.69489644076673, 116.4513475714903 39.69039150693173, 116.4455165290955 39.69036380988668, 116.4454804853961 39.69486873931882))"
62,"POLYGON ((116.451311906786 39.69489644076673, 116.4571433361919 39.69492384938604, 116.4571786218991 39.69041891119475, 116.4513475714903 39.69039150693173, 116.451311906786 39.69489644076673))"
63,"POLYGON ((116.4571433361919 39.69492384938604, 116.4629747735285 39.6949509651756, 116.4630096802367 39.69044602267452, 116.4571786218991 39.69041891119475, 116.4571433361919 39.69492384938604))"
64,"POLYGON ((116.4629747735285 39.6949509651756, 116.4688062187107 39.69497778813422, 116.4688407464179 39.6904728413699, 116.4630096802367 39.69044602267452, 116.4629747735285 39.6949509651756))"
65,"POLYGON ((116.4688062187107 39.69497778813422, 116.4746376716534 39.69500431826071, 116.4746718203576 39.69049936727972, 116.4688407464179 39.6904728413699, 116.4688062187107 39.69497778813422))"
66,"POLYGON ((116.4746376716534 39.69500431826071, 116.4804691322713 39.69503055555398, 116.4805029019707 39.69052560040282, 116.4746718203576 39.69049936727972, 116.4746376716534 39.69500431826071))"
67,"POLYGON ((116.4804691322713 39.69503055555398, 116.4863006004792 39.69505650001285, 116.4863339911719 39.69055154073807, 116.4805029019707 39.69052560040282, 116.4804691322713 39.69503055555398))"
68,"POLYGON ((116.4863006004792 39.69505650001285, 116.492132076192 39.69508215163622, 116.4921650878761 39.69057718828437, 116.4863339911719 39.69055154073807, 116.4863006004792 39.69505650001285))"
69,"POLYGON ((116.492132076192 39.69508215163622, 116.4979635593246 39.69510751042298, 116.4979961919981 39.69060254304061, 116.4921650878761 39.69057718828437, 116.492132076192 39.69508215163622))"
70,"POLYGON ((116.4979635593246 39.69510751042298, 116.5037950497916 39.69513257637203, 116.5038273034529 39.69062760500566, 116.4979961919981 39.69060254304061, 116.4979635593246 39.69510751042298))"
71,"POLYGON ((116.5037950497916 39.69513257637203, 116.509626547508 39.69515734948229, 116.5096584221552 39.69065237417847, 116.5038273034529 39.69062760500566, 116.5037950497916 39.69513257637203))"
72,"POLYGON ((116.509626547508 39.69515734948229, 116.5154580523886 39.69518182975269, 116.5154895480199 39.69067685055796, 116.5096584221552 39.69065237417847, 116.509626547508 39.69515734948229))"
73,"POLYGON ((116.5154580523886 39.69518182975269, 116.5212895643482 39.69520601718217, 116.5213206809618 39.69070103414307, 116.5154895480199 39.69067685055796, 116.5154580523886 39.69518182975269))"
74,"POLYGON ((116.5212895643482 39.69520601718217, 116.5271210833016 39.69522991176968, 116.5271518208958 39.69072492493275, 116.5213206809618 39.69070103414307, 116.5212895643482 39.69520601718217))"
75,"POLYGON ((116.5271210833016 39.69522991176968, 116.5329526091635 39.6952535135142, 116.5329829677366 39.69074852292598, 116.5271518208958 39.69072492493275, 116.5271210833016 39.69522991176968))"
76,"POLYGON ((116.5329526091635 39.6952535135142, 116.538784141849 39.69527682241469, 116.5388141213993 39.69077182812173, 116.5329829677366 39.69074852292598, 116.5329526091635 39.6952535135142))"
77,"POLYGON ((116.538784141849 39.69527682241469, 116.5446156812727 39.69529983847016, 116.5446452817985 39.690794840519, 116.5388141213993 39.69077182812173, 116.538784141849 39.69527682241469))"
78,"POLYGON ((116.5446156812727 39.69529983847016, 116.5504472273495 39.69532256167961, 116.5504764488491 39.6908175601168, 116.5446452817985 39.690794840519, 116.5446156812727 39.69529983847016))"
79,"POLYGON ((116.5504472273495 39.69532256167961, 116.5562787799941 39.69534499204207, 116.5563076224659 39.69083998691413, 116.5504764488491 39.6908175601168, 116.5504472273495 39.69532256167961))"
80,"POLYGON ((116.5562787799941 39.69534499204207, 116.5621103391214 39.69536712955654, 116.5621388025639 39.69086212091004, 116.5563076224659 39.69083998691413, 116.5562787799941 39.69534499204207))"
81,"POLYGON ((116.5621103391214 39.69536712955654, 116.5679419046463 39.69538897422209, 116.5679699890577 39.69088396210357, 116.5621388025639 39.69086212091004, 116.5621103391214 39.69536712955654))"
82,"POLYGON ((116.5679419046463 39.69538897422209, 116.5737734764835 39.69541052603776, 116.5738011818624 39.69090551049377, 116.5679699890577 39.69088396210357, 116.5679419046463 39.69538897422209))"
83,"POLYGON ((116.5737734764835 39.69541052603776, 116.5796050545479 39.69543178500265, 116.5796323808926 39.69092676607971, 116.5738011818624 39.69090551049377, 116.5737734764835 39.69541052603776))"
84,"POLYGON ((116.5796050545479 39.69543178500265, 116.5854366387542 39.69545275111581, 116.5854635860632 39.69094772886047, 116.5796323808926 39.69092676607971, 116.5796050545479 39.69543178500265))"
85,"POLYGON ((116.5854366387542 39.69545275111581, 116.5912682290173 39.69547342437633, 116.5912947972891 39.69096839883514, 116.5854635860632 39.69094772886047, 116.5854366387542 39.69545275111581))"
86,"POLYGON ((116.5912682290173 39.69547342437633, 116.5970998252519 39.69549380478334, 116.5971260144851 39.69098877600284, 116.5912947972891 39.69096839883514, 116.5912682290173 39.69547342437633))"
87,"POLYGON ((116.5970998252519 39.69549380478334, 116.602931427373 39.69551389233595, 116.602957237566 39.69100886036269, 116.5971260144851 39.69098877600284, 116.5970998252519 39.69549380478334))"
88,"POLYGON ((116.602931427373 39.69551389233595, 116.6087630352952 39.69553368703327, 116.6087884664467 39.6910286519138, 116.602957237566 39.69100886036269, 116.602931427373 39.69551389233595))"
89,"POLYGON ((116.6087630352952 39.69553368703327, 116.6145946489335 39.69555318887447, 116.6146197010419 39.69104815065533, 116.6087884664467 39.6910286519138, 116.6087630352952 39.69553368703327))"
90,"POLYGON ((116.6145946489335 39.69555318887447, 116.6204262682026 39.6955723978587, 116.6204509412666 39.69106735658645, 116.6146197010419 39.69104815065533, 116.6145946489335 39.69555318887447))"
91,"POLYGON ((116.6204262682026 39.6955723978587, 116.6262578930173 39.69559131398514, 116.6262821870355 39.69108626970631, 116.6204509412666 39.69106735658645, 116.6204262682026 39.6955723978587))"
92,"POLYGON ((116.6262578930173 39.69559131398514, 116.6320895232924 39.69560993725297, 116.6321134382635 39.6911048900141, 116.6262821870355 39.69108626970631, 116.6262578930173 39.69559131398514))"
93,"POLYGON ((116.6320895232924 39.69560993725297, 116.6379211589428 39.69562826766138, 116.6379446948654 39.69112321750902, 116.6321134382635 39.6911048900141, 116.6320895232924 39.69560993725297))"
94,"POLYGON ((116.6379211589428 39.69562826766138, 116.6437527998833 39.69564630520956, 116.643775956756 39.69114125219026, 116.6379446948654 39.69112321750902, 116.6379211589428 39.69562826766138))"
95,"POLYGON ((116.6437527998833 39.69564630520956, 116.6495844460286 39.69566404989676, 116.6496072238503 39.69115899405707, 116.643775956756 39.69114125219026, 116.6437527998833 39.69564630520956))"
96,"POLYGON ((116.6495844460286 39.69566404989676, 116.6554160972936 39.69568150172219, 116.6554384960628 39.69117644310866, 116.6496072238503 39.69115899405707, 116.6495844460286 39.69566404989676))"
97,"POLYGON ((116.6554160972936 39.69568150172219, 116.661247753593 39.69569866068511, 116.6612697733086 39.69119359934428, 116.6554384960628 39.69117644310866, 116.6554160972936 39.69568150172219))"
98,"POLYGON ((116.661247753593 39.69569866068511, 116.6670794148417 39.69571552678478, 116.6671010555025 39.69121046276322, 116.6612697733086 39.69119359934428, 116.661247753593 39.69569866068511))"
99,"POLYGON ((116.6670794148417 39.69571552678478, 116.6729110809545 39.69573210002046, 116.6729323425592 39.69122703336468, 116.6671010555025 39.69121046276322, 116.6670794148417 39.69571552678478))"
100,"POLYGON ((116.6729110809545 39.69573210002046, 116.6787427518462 39.69574838039144, 116.6787636343936 39.691243311148, 116.6729323425592 39.69122703336468, 116.6729110809545 39.69573210002046))"
101,"POLYGON ((116.6787427518462 39.69574838039144, 116.6845744274316 39.69576436789702, 116.6845949309205 39.69125929611246, 116.6787636343936 39.691243311148, 116.6787427518462 39.69574838039144))"
102,"POLYGON ((116.6845744274316 39.69576436789702, 116.6904061076255 39.6957800625365, 116.6904262320548 39.6912749882574, 116.6845949309205 39.69125929611246, 116.6845744274316 39.69576436789702))"
103,"POLYGON ((116.6904061076255 39.6957800625365, 116.6962377923426 39.69579546430921, 116.6962575377112 39.69129038758209, 116.6904262320548 39.6912749882574, 116.6904061076255 39.6957800625365))"
104,"POLYGON ((116.6962377923426 39.69579546430921, 116.7020694814979 39.69581057321447, 116.7020888478046 39.6913054940859, 116.6962575377112 39.69129038758209, 116.6962377923426 39.69579546430921))"
105,"POLYGON ((116.7020694814979 39.69581057321447, 116.707901175006 39.69582538925165, 116.7079201622499 39.69132030776816, 116.7020888478046 39.6913054940859, 116.7020694814979 39.69581057321447))"
106,"POLYGON ((116.0897231494873 39.69712983650001, 116.0955542997934 39.69717540499158, 116.0956130919469 39.69267082846058, 116.089782320559 39.69262526721095, 116.0897231494873 39.69712983650001))"
107,"POLYGON ((116.0955542997934 39.69717540499158, 116.1013854633126 39.69722068070422, 116.1014438765447 39.6927160969778, 116.0956130919469 39.69267082846058, 116.0955542997934 39.69717540499158))"
108,"POLYGON ((116.1013854633126 39.69722068070422, 116.1072166399598 39.69726566363596, 116.1072746742672 39.69276107276064, 116.1014438765447 39.6927160969778, 116.1013854633126 39.69722068070422))"
109,"POLYGON ((116.1072166399598 39.69726566363596, 116.1130478296499 39.69731035378485, 116.1131054850294 39.69280575580714, 116.1072746742672 39.69276107276064, 116.1072166399598 39.69726566363596))"
110,"POLYGON ((116.1130478296499 39.69731035378485, 116.1188790322978 39.69735475114899, 116.118936308746 39.69285014611543, 116.1131054850294 39.69280575580714, 116.1130478296499 39.69731035378485))"
111,"POLYGON ((116.1188790322978 39.69735475114899, 116.1247102478182 39.69739885572643, 116.1247671453321 39.69289424368353, 116.118936308746 39.69285014611543, 116.1188790322978 39.69735475114899))"
112,"POLYGON ((116.1247102478182 39.69739885572643, 116.1305414761261 39.69744266751528, 116.1305979947023 39.69293804850957, 116.1247671453321 39.69289424368353, 116.1247102478182 39.69739885572643))"
