polyid,alpha,I_index,flowtotalcnt,flowtotallength
640,823.8826872619017,2.0,3.0,14.478380517980945
642,823.8826872619017,1.0,3.0,4.632070990944473
644,823.8826872619017,1.0,2.0,4.087976832402301
645,823.8826872619017,3.0,10.0,20.76822635586351
648,823.8826872619017,1.0,1.0,6.9465648849695665
676,823.8826872619017,1.0,1.0,4.577621284244163
677,823.8826872619017,2.0,3.0,15.06755145449472
678,823.8826872619017,2.0,4.0,8.334196204556829
679,823.8826872619017,2.0,2.0,33.15770797869748
680,823.8826872619017,2.0,2.0,18.801982976067677
681,823.8826872619017,1.0,1.0,12.80712131165958
684,823.8826872619017,1.0,1.0,3.950480992300715
691,823.8826872619017,1.0,1.0,7.698128102919771
696,823.8826872619017,1.0,1.0,9.069140672131823
697,823.8826872619017,1.0,1.0,3.6851947745094966
743,823.8826872619017,2.0,4.0,21.51605657701942
745,823.8826872619017,1.0,1.0,2.114978228483449
746,823.8826872619017,4.0,10.0,64.41519351055568
747,823.8826872619017,4.0,11.0,45.22495529448219
748,823.8826872619017,1.0,4.0,5.004049707702319
749,823.8826872619017,4.0,13.0,47.83373868654769
750,823.8826872619017,3.0,6.0,59.13190415277407
751,823.8826872619017,2.0,8.0,38.31683117594185
752,823.8826872619017,4.0,13.0,65.26179388527036
753,823.8826872619017,1.0,1.0,2.3705735435142263
754,823.8826872619017,0.0,1.0,0.411383050924123
755,823.8826872619017,1.0,1.0,3.35442846028068
776,823.8826872619017,1.0,1.0,2.3485173020262424
781,823.8826872619017,1.0,1.0,1.7314276028992739
782,823.8826872619017,2.0,2.0,33.36968935327864
783,823.8826872619017,3.0,5.0,15.858136090865043
784,823.8826872619017,3.0,4.0,31.671590072390433
785,823.8826872619017,1.0,1.0,1.4519647635452408
814,823.8826872619017,1.0,1.0,6.319233266757278
848,823.8826872619017,2.0,2.0,4.299346390584849
849,823.8826872619017,2.0,3.0,6.568282408857423
851,823.8826872619017,1.0,2.0,2.750484126219608
852,823.8826872619017,3.0,15.0,50.18665291438902
853,823.8826872619017,2.0,10.0,28.079858095912194
854,823.8826872619017,3.0,13.0,58.39646258136173
855,823.8826872619017,4.0,7.0,21.47021327667177
856,823.8826872619017,2.0,5.0,16.572807303790317
857,823.8826872619017,1.0,1.0,1.2743182845187337
858,823.8826872619017,1.0,2.0,2.977996823116663
859,823.8826872619017,0.0,1.0,0.02083880010964637
863,823.8826872619017,1.0,1.0,1.0053875719962269
887,823.8826872619017,2.0,3.0,10.719060760461321
888,823.8826872619017,4.0,10.0,41.4199051190348
889,823.8826872619017,4.0,12.0,56.51287053473464
890,823.8826872619017,3.0,3.0,26.680299191091667
904,823.8826872619017,2.0,2.0,30.312029085709153
910,823.8826872619017,1.0,1.0,26.047139044181858
911,823.8826872619017,1.0,1.0,8.285213464000966
927,823.8826872619017,2.0,2.0,39.435529642041175
929,823.8826872619017,1.0,1.0,2.3136025888508187
937,823.8826872619017,0.0,1.0,0.6657820180745185
955,823.8826872619017,1.0,1.0,2.5348773685501524
956,823.8826872619017,2.0,4.0,7.121048617073866
957,823.8826872619017,2.0,4.0,7.117842983131691
958,823.8826872619017,3.0,12.0,27.715615368314097
959,823.8826872619017,2.0,5.0,7.261733854564902
960,823.8826872619017,5.0,23.0,86.93869293441259
961,823.8826872619017,5.0,18.0,86.165670964535
962,823.8826872619017,2.0,6.0,12.1326370324574
963,823.8826872619017,1.0,1.0,1.1193704381298684
964,823.8826872619017,2.0,2.0,4.9174487254712185
965,823.8826872619017,3.0,6.0,63.1263486304988
966,823.8826872619017,2.0,3.0,7.449366773030306
969,823.8826872619017,1.0,1.0,3.305251151817462
970,823.8826872619017,1.0,1.0,5.741684352517191
986,823.8826872619017,1.0,1.0,34.802653814649624
987,823.8826872619017,0.0,1.0,0.6696195697204702
993,823.8826872619017,3.0,9.0,37.94121149202098
994,823.8826872619017,5.0,15.0,117.71831367763151
995,823.8826872619017,5.0,19.0,131.876390926395
996,823.8826872619017,4.0,13.0,68.16425945585286
997,823.8826872619017,4.0,6.0,45.54181757390061
1002,823.8826872619017,1.0,1.0,3.4624288495914555
1015,823.8826872619017,1.0,1.0,26.57520929674233
1026,823.8826872619017,2.0,2.0,8.540945831969246
1030,823.8826872619017,1.0,1.0,7.848019022727318
1031,823.8826872619017,0.0,1.0,0.4843545939918334
1062,823.8826872619017,2.0,2.0,3.7273581116998695
1063,823.8826872619017,2.0,2.0,6.72683343597239
1065,823.8826872619017,2.0,2.0,11.389456335420205
1066,823.8826872619017,4.0,8.0,55.81825173984212
1067,823.8826872619017,7.0,37.0,164.86171741450266
1068,823.8826872619017,3.0,6.0,37.46060276518797
1069,823.8826872619017,1.0,1.0,1.48337452889321
1071,823.8826872619017,1.0,2.0,3.6030696350577935
1072,823.8826872619017,1.0,1.0,1.6438146510900637
1074,823.8826872619017,1.0,1.0,3.51617173489512
1076,823.8826872619017,1.0,1.0,3.975918758011693
1093,823.8826872619017,1.0,1.0,14.838330933834444
1097,823.8826872619017,1.0,1.0,1.976802801120013
1098,823.8826872619017,1.0,1.0,2.2686575687971096
1099,823.8826872619017,2.0,10.0,39.54720380667254
1100,823.8826872619017,2.0,6.0,22.258849188596347
1101,823.8826872619017,4.0,16.0,81.40261388820112
1102,823.8826872619017,3.0,6.0,31.414020961089502
1103,823.8826872619017,1.0,1.0,1.0313288607289022
1104,823.8826872619017,4.0,5.0,51.084390259970284
1105,823.8826872619017,1.0,1.0,3.4233001671215204
1136,823.8826872619017,3.0,4.0,17.214340878979513
1137,823.8826872619017,3.0,6.0,42.15127658308612
1138,823.8826872619017,2.0,2.0,39.60660595114356
1139,823.8826872619017,1.0,1.0,15.778569475646893
1140,823.8826872619017,1.0,1.0,10.142576184827396
1141,823.8826872619017,1.0,1.0,17.9665920109272
1144,823.8826872619017,1.0,1.0,2.8020045046406654
1145,823.8826872619017,1.0,1.0,2.4256698322123604
